,agent_id,task_category,task_complexity,autonomy_level,accuracy_score,success_rate,after_accuracy_score,after_success_rate
7,AG_03286,Creative Writing,8,8,0.4,0.3,0.3876586544110012,0.26122919135994577
8,AG_01522,Learning & Adaptation,8,8,0.4148,0.301,0.4024586544110012,0.26222919135994577
14,AG_04181,Data Analysis,8,10,0.5009,0.3414,0.4885586544110012,0.30262919135994576
18,AG_01302,Problem Solving,7,8,0.455,0.3596,0.4426586544110012,0.32082919135994575
22,AG_02096,Problem Solving,8,7,0.4806,0.3071,0.46825865441100123,0.26832919135994576
23,AG_02527,Problem Solving,9,10,0.4,0.3,0.3876586544110012,0.26122919135994577
27,AG_04040,Planning & Scheduling,7,8,0.431,0.4361,0.4186586544110012,0.39732919135994577
28,AG_01883,Learning & Adaptation,8,9,0.4078,0.3423,0.3954586544110012,0.30352919135994577
29,AG_04730,Problem Solving,9,8,0.4029,0.3,0.3905586544110012,0.26122919135994577
35,AG_01005,Learning & Adaptation,8,8,0.4915,0.3,0.4791586544110012,0.26122919135994577
41,AG_01489,Learning & Adaptation,9,7,0.4174,0.3,0.4050586544110012,0.26122919135994577
42,AG_04769,Data Analysis,8,8,0.4423,0.3624,0.42995865441100123,0.3236291913599458
45,AG_02871,Learning & Adaptation,10,10,0.4,0.3,0.3876586544110012,0.26122919135994577
50,AG_03775,Problem Solving,8,10,0.4991,0.5128,0.4867586544110012,0.4740291913599458
53,AG_03386,Learning & Adaptation,7,8,0.5156,0.4055,0.5032586544110011,0.3667291913599458
55,AG_01929,Data Analysis,8,9,0.5061,0.3146,0.4937586544110012,0.27582919135994577
59,AG_00759,Decision Making,9,8,0.4,0.3,0.3876586544110012,0.26122919135994577
66,AG_01128,Data Analysis,7,8,0.5786,0.4057,0.5662586544110012,0.3669291913599458
67,AG_01328,Creative Writing,8,7,0.4688,0.3666,0.4564586544110012,0.32782919135994576
68,AG_03786,Learning & Adaptation,8,9,0.5077,0.3399,0.49535865441100124,0.30112919135994576
72,AG_01918,Decision Making,7,8,0.5289,0.3834,0.5165586544110012,0.3446291913599458
75,AG_03014,Creative Writing,8,10,0.4322,0.4372,0.4198586544110012,0.39842919135994576
76,AG_04503,Problem Solving,9,10,0.4266,0.3,0.4142586544110012,0.26122919135994577
78,AG_01500,Code Generation,7,8,0.4645,0.4634,0.4521586544110012,0.42462919135994576
88,AG_01059,Research & Summarization,8,8,0.4412,0.3786,0.4288586544110012,0.33982919135994577
90,AG_00541,Planning & Scheduling,7,7,0.504,0.3857,0.4916586544110012,0.34692919135994577
92,AG_00369,Problem Solving,10,10,0.4,0.3,0.3876586544110012,0.26122919135994577
97,AG_04961,Research & Summarization,8,9,0.4113,0.3,0.3989586544110012,0.26122919135994577
99,AG_01368,Decision Making,8,10,0.4303,0.3,0.4179586544110012,0.26122919135994577
104,AG_02888,Learning & Adaptation,10,8,0.4164,0.3,0.4040586544110012,0.26122919135994577
106,AG_04931,Learning & Adaptation,8,8,0.5274,0.429,0.5150586544110012,0.39022919135994577
109,AG_01764,Creative Writing,7,9,0.547,0.389,0.5346586544110012,0.3502291913599458
122,AG_03842,Decision Making,9,8,0.4,0.3,0.3876586544110012,0.26122919135994577
124,AG_03161,Research & Summarization,7,8,0.4896,0.3833,0.4772586544110012,0.34452919135994575
128,AG_03808,Learning & Adaptation,9,10,0.4739,0.329,0.4615586544110012,0.2902291913599458
136,AG_01676,Text Processing,7,7,0.4768,0.4497,0.4644586544110012,0.41092919135994577
141,AG_04512,Decision Making,7,7,0.5082,0.4895,0.4958586544110012,0.45072919135994577
145,AG_04211,Creative Writing,7,8,0.5319,0.346,0.5195586544110012,0.30722919135994575
150,AG_02542,Problem Solving,10,9,0.4,0.3,0.3876586544110012,0.26122919135994577
159,AG_02640,Learning & Adaptation,10,10,0.4,0.3,0.3876586544110012,0.26122919135994577
161,AG_03483,Problem Solving,9,10,0.4,0.3,0.3876586544110012,0.26122919135994577
166,AG_04560,Problem Solving,8,8,0.4525,0.3233,0.4401586544110012,0.28452919135994575
169,AG_04888,Data Analysis,8,10,0.4359,0.3469,0.4235586544110012,0.30812919135994576
170,AG_03001,Learning & Adaptation,9,9,0.4355,0.3,0.4231586544110012,0.26122919135994577
171,AG_01101,Learning & Adaptation,9,9,0.4123,0.3,0.3999586544110012,0.26122919135994577
172,AG_02220,Problem Solving,7,7,0.578,0.4742,0.5656586544110012,0.4354291913599458
177,AG_04213,Problem Solving,10,9,0.4,0.3,0.3876586544110012,0.26122919135994577
182,AG_04047,Text Processing,7,8,0.5357,0.4452,0.5233586544110012,0.40642919135994576
183,AG_00387,Problem Solving,10,10,0.4,0.3,0.3876586544110012,0.26122919135994577
188,AG_02609,Code Generation,9,10,0.4,0.3,0.3876586544110012,0.26122919135994577
193,AG_03126,Code Generation,7,7,0.4684,0.415,0.4560586544110012,0.37622919135994576
194,AG_01087,Code Generation,8,8,0.4999,0.3006,0.4875586544110012,0.26182919135994576
198,AG_01415,Data Analysis,7,7,0.4804,0.3,0.4680586544110012,0.26122919135994577
200,AG_01249,Decision Making,8,8,0.435,0.3,0.4226586544110012,0.26122919135994577
202,AG_04918,Problem Solving,7,7,0.4732,0.4646,0.4608586544110012,0.4258291913599458
205,AG_02128,Creative Writing,8,9,0.4742,0.3,0.4618586544110012,0.26122919135994577
208,AG_01069,Learning & Adaptation,9,7,0.45,0.3,0.4376586544110012,0.26122919135994577
209,AG_00181,Learning & Adaptation,9,9,0.4,0.3,0.3876586544110012,0.26122919135994577
211,AG_02979,Code Generation,8,10,0.424,0.3,0.4116586544110012,0.26122919135994577
212,AG_02899,Creative Writing,8,9,0.4012,0.3,0.3888586544110012,0.26122919135994577
213,AG_02363,Problem Solving,10,10,0.4194,0.3,0.4070586544110012,0.26122919135994577
216,AG_04549,Data Analysis,7,8,0.4724,0.3966,0.4600586544110012,0.3578291913599458
217,AG_02749,Problem Solving,10,10,0.4,0.3,0.3876586544110012,0.26122919135994577
218,AG_02802,Problem Solving,10,8,0.4242,0.3,0.4118586544110012,0.26122919135994577
222,AG_04911,Research & Summarization,8,8,0.4389,0.3135,0.4265586544110012,0.2747291913599458
226,AG_04165,Data Analysis,7,7,0.5156,0.3565,0.5032586544110011,0.31772919135994576
227,AG_03176,Learning & Adaptation,10,8,0.4,0.3,0.3876586544110012,0.26122919135994577
231,AG_01563,Learning & Adaptation,8,7,0.554,0.327,0.5416586544110013,0.2882291913599458
236,AG_00260,Code Generation,8,7,0.5228,0.3563,0.5104586544110012,0.3175291913599458
237,AG_01032,Problem Solving,7,9,0.5164,0.3187,0.5040586544110012,0.27992919135994576
241,AG_01360,Decision Making,10,10,0.4,0.3,0.3876586544110012,0.26122919135994577
242,AG_03377,Problem Solving,7,9,0.5021,0.3821,0.4897586544110012,0.3433291913599458
244,AG_04926,Data Analysis,8,8,0.5001,0.3,0.4877586544110012,0.26122919135994577
246,AG_01809,Research & Summarization,7,7,0.4637,0.5024,0.4513586544110012,0.46362919135994574
249,AG_04231,Code Generation,9,8,0.4,0.3,0.3876586544110012,0.26122919135994577
251,AG_03936,Research & Summarization,9,10,0.4905,0.3,0.4781586544110012,0.26122919135994577
254,AG_02987,Learning & Adaptation,9,10,0.4,0.3,0.3876586544110012,0.26122919135994577
257,AG_04967,Problem Solving,10,10,0.4038,0.3,0.3914586544110012,0.26122919135994577
258,AG_03794,Code Generation,9,7,0.4,0.3,0.3876586544110012,0.26122919135994577
259,AG_01938,Research & Summarization,9,7,0.4441,0.3,0.4317586544110012,0.26122919135994577
264,AG_01852,Research & Summarization,9,10,0.4477,0.3,0.4353586544110012,0.26122919135994577
273,AG_01377,Text Processing,7,9,0.4979,0.3867,0.4855586544110012,0.34792919135994577
274,AG_01192,Problem Solving,10,10,0.4,0.3,0.3876586544110012,0.26122919135994577
279,AG_01657,Problem Solving,9,10,0.4,0.3,0.3876586544110012,0.26122919135994577
283,AG_02691,Problem Solving,9,10,0.4,0.3,0.3876586544110012,0.26122919135994577
285,AG_02211,Decision Making,9,8,0.4002,0.3,0.3878586544110012,0.26122919135994577
287,AG_04333,Data Analysis,8,8,0.4243,0.333,0.4119586544110012,0.2942291913599458
289,AG_00055,Code Generation,9,8,0.4,0.3,0.3876586544110012,0.26122919135994577
292,AG_00428,Learning & Adaptation,9,8,0.4,0.3,0.3876586544110012,0.26122919135994577
296,AG_00658,Decision Making,9,8,0.4,0.3,0.3876586544110012,0.26122919135994577
297,AG_00969,Problem Solving,7,7,0.4762,0.35,0.4638586544110012,0.31122919135994576
301,AG_04887,Problem Solving,10,10,0.4,0.3,0.3876586544110012,0.26122919135994577
302,AG_03039,Problem Solving,10,10,0.4,0.3,0.3876586544110012,0.26122919135994577
307,AG_04647,Problem Solving,8,9,0.4176,0.3498,0.40525865441100123,0.3110291913599458
310,AG_02167,Research & Summarization,9,8,0.4,0.3,0.3876586544110012,0.26122919135994577
314,AG_03405,Research & Summarization,8,8,0.4,0.376,0.3876586544110012,0.3372291913599458
316,AG_00168,Problem Solving,9,7,0.4444,0.3,0.4320586544110012,0.26122919135994577
317,AG_00789,Decision Making,9,10,0.4068,0.3,0.3944586544110012,0.26122919135994577
324,AG_00008,Learning & Adaptation,8,9,0.4581,0.3886,0.4457586544110012,0.3498291913599458
325,AG_00051,Research & Summarization,9,10,0.4,0.3,0.3876586544110012,0.26122919135994577
328,AG_02630,Problem Solving,10,10,0.4,0.3,0.3876586544110012,0.26122919135994577
329,AG_02172,Creative Writing,7,7,0.5032,0.3808,0.4908586544110012,0.3420291913599458
332,AG_03632,Decision Making,7,8,0.5089,0.4083,0.4965586544110012,0.3695291913599458
334,AG_01539,Code Generation,9,10,0.4,0.3,0.3876586544110012,0.26122919135994577
339,AG_01936,Data Analysis,7,9,0.464,0.4437,0.4516586544110012,0.40492919135994576
341,AG_03353,Code Generation,7,8,0.5001,0.3208,0.4877586544110012,0.28202919135994575
343,AG_01179,Problem Solving,9,10,0.4224,0.3,0.4100586544110012,0.26122919135994577
344,AG_02620,Problem Solving,9,8,0.4042,0.3,0.3918586544110012,0.26122919135994577
345,AG_02032,Decision Making,9,10,0.4,0.3,0.3876586544110012,0.26122919135994577
353,AG_04280,Problem Solving,7,9,0.5106,0.3599,0.49825865441100126,0.3211291913599458
356,AG_01958,Learning & Adaptation,8,9,0.47,0.3961,0.4576586544110012,0.3573291913599458
357,AG_02990,Code Generation,9,7,0.4,0.3,0.3876586544110012,0.26122919135994577
358,AG_04903,Problem Solving,8,8,0.4406,0.3,0.4282586544110012,0.26122919135994577
360,AG_02657,Learning & Adaptation,10,10,0.4,0.3,0.3876586544110012,0.26122919135994577
361,AG_04175,Code Generation,8,10,0.5264,0.3,0.5140586544110012,0.26122919135994577
362,AG_03618,Problem Solving,8,8,0.4,0.3,0.3876586544110012,0.26122919135994577
363,AG_02772,Learning & Adaptation,10,10,0.4,0.3,0.3876586544110012,0.26122919135994577
365,AG_02838,Problem Solving,9,8,0.4177,0.3,0.4053586544110012,0.26122919135994577
366,AG_03831,Code Generation,9,7,0.4,0.3,0.3876586544110012,0.26122919135994577
368,AG_03031,Code Generation,8,8,0.5463,0.3,0.5339586544110012,0.26122919135994577
369,AG_01205,Text Processing,7,7,0.5271,0.3368,0.5147586544110012,0.29802919135994577
372,AG_04485,Learning & Adaptation,10,10,0.4,0.3,0.3876586544110012,0.26122919135994577
373,AG_02874,Research & Summarization,7,7,0.5007,0.3,0.48835865441100124,0.26122919135994577
377,AG_02168,Data Analysis,8,10,0.4078,0.3088,0.3954586544110012,0.2700291913599458
381,AG_00313,Creative Writing,7,7,0.5263,0.4149,0.5139586544110012,0.37612919135994577
383,AG_01018,Decision Making,10,8,0.4,0.3,0.3876586544110012,0.26122919135994577
384,AG_00355,Decision Making,10,10,0.4,0.3,0.3876586544110012,0.26122919135994577
385,AG_04952,Problem Solving,8,9,0.4,0.3762,0.3876586544110012,0.33742919135994576
387,AG_01926,Learning & Adaptation,9,8,0.4,0.3,0.3876586544110012,0.26122919135994577
388,AG_01770,Planning & Scheduling,7,7,0.4957,0.4599,0.4833586544110012,0.42112919135994575
394,AG_01155,Text Processing,7,8,0.4677,0.3829,0.4553586544110012,0.3441291913599458
396,AG_01380,Decision Making,9,9,0.4004,0.354,0.3880586544110012,0.31522919135994576
397,AG_04342,Decision Making,7,9,0.5232,0.458,0.5108586544110012,0.4192291913599458
399,AG_04276,Decision Making,7,8,0.489,0.507,0.4766586544110012,0.4682291913599458
403,AG_03704,Problem Solving,9,10,0.4,0.3,0.3876586544110012,0.26122919135994577
408,AG_03174,Learning & Adaptation,9,9,0.4,0.3402,0.3876586544110012,0.3014291913599458
414,AG_04555,Decision Making,8,8,0.4111,0.3244,0.3987586544110012,0.2856291913599458
415,AG_03473,Problem Solving,10,10,0.4,0.3,0.3876586544110012,0.26122919135994577
416,AG_03901,Creative Writing,8,7,0.4678,0.3278,0.4554586544110012,0.28902919135994576
